,Preprinted,Modifiable,User_generated
book1,1,1,1
book10,1,1,1
book11,1,1,1
book2,1,1,1
book3,1,1,1
book4,1,1,1
book5,1,1,1
book6,1,1,1
book7,1,1,1
book8,1,1,1
book9,1,1,1
package_container1,1,1,1
package_container10,1,1,1
package_container11,1,1,1
package_container12,1,1,1
package_container13,1,1,1
package_container14-card7,1,1,1
package_container2,1,1,1
package_container3,1,1,1
package_container4,1,1,1
package_container5,1,1,1
package_container6,1,1,1
package_container7,1,1,1
package_container8,1,1,1
package_container9,1,1,1
paperfolder1,1,1,1
paperfolder2,1,1,1
paperfolder3,1,1,1
leaflet1,1,1,1
calligraphy1,1,1,1
craftpaper1,1,1,1
money1,1,1,1
papercup1,1,1,1
sandpaper1,1,1,1
examsheet1,1,1,1
examsheet2,1,1,1
newapaper1,1,1,1
newspaper2,1,1,1
papersticky1,1,1,1
papersticky2,1,1,1
plainpaper,1,1,1
plainpaper2,1,1,1
receipt1,1,1,1
receipt2,1,1,1
draft1,1,1,1
draft2,1,1,1
draft3,1,1,1
brochure2,1,1,1
brochure3,1,1,1
brochure4,1,1,1
broshure1,1,1,1
letter1,1,1,1
letter2,1,1,1
letter3,1,1,1
letter4,1,1,1
calendar1,1,1,1
calendar2,1,1,1
calendar3,1,1,1
calendar4,1,1,1
calendar5,1,1,1
card1,1,1,1
card2,1,1,1
card3boardingpass,1,1,1
card4,1,1,1
card5,1,1,1
card6,1,1,1
card7_namecard1,1,1,1
memo1,1,1,1
memo2,1,1,1
memo4,1,1,1
memo5,1,1,1
memo6,1,1,1
memo7,1,1,1
memoposter3,1,1,1
tissue1,1,1,1
tissue2,1,1,1
tissue3,1,1,1
tissue4,1,1,1
tissue5,1,1,1
tissue6,1,1,1
tissue7,1,1,1
article1,1,1,1
article2,1,1,1
article3,1,1,1
article4,1,1,1
article5,1,1,1
article6,1,1,1
article7,1,1,1
article8,1,1,1
notebook1,1,1,1
notebook2,1,1,1
notebook3,1,1,1
notebook4,1,1,1
notebook5,1,1,1
notebook6,1,1,1
notebook7,1,1,1
notebook8,1,1,1
poster1,1,1,1
poster3,1,1,1
poster4,1,1,1
poster5,1,1,1
poster6,1,1,1
poster7,1,1,1
poster8,1,1,1
poster9,1,1,1
