source,target,value
Preprinted,11book,1
Preprinted,17package_container,1
Preprinted,1money,1
Preprinted,1papercup,1
Preprinted,1sandpaper,1
Preprinted,4brochure_leaflet,1
Preprinted,7tissue,1
Preprinted,8poster,1
Modifiable,1bookmarkleaflet,1
Modifiable,1calligraph,1
Modifiable,1handcraft,1
Modifiable,2newpaper,1
Modifiable,2receipt,1
Modifiable,4letter_notice,1
Modifiable,5calendar,1
Modifiable,7card,1
Modifiable,8article,1
User_generated,2examsheet,1
User_generated,2paperstick_tape,1
User_generated,3scratchpaperdraft,1
User_generated,7memo_post,1
User_generated,8notebook,1
11book,R.orientation,1
11book,R.size,1
11book,R.spatiality,1
11book,R.texture,1
11book,R.permeability,1
17package_container,R.orientation,1
17package_container,R.size,1
17package_container,R.spatiality,1
17package_container,R.texture,1
17package_container,R.permeability,1
1money,R.orientation,1
1money,R.size,1
1money,R.spatiality,1
1money,R.texture,1
1money,R.permeability,1
1papercup,R.orientation,1
1papercup,R.size,1
1papercup,R.spatiality,1
1papercup,R.texture,1
1papercup,R.permeability,1
1sandpaper,R.orientation,1
1sandpaper,R.size,1
1sandpaper,R.spatiality,1
1sandpaper,R.texture,1
1sandpaper,R.permeability,1
2newpaper,cost,1
2newpaper,portable,1
2paperstick_tape,sticky,1
4brochure_leaflet,R.orientation,1
4brochure_leaflet,R.size,1
4brochure_leaflet,R.spatiality,1
4brochure_leaflet,R.texture,1
4brochure_leaflet,R.permeability,1
7tissue,R.orientation,1
7tissue,R.size,1
7tissue,R.spatiality,1
7tissue,R.texture,1
7tissue,R.permeability,1
8notebook,R.orientation,1
8notebook,R.size,1
8notebook,R.spatiality,1
8notebook,R.texture,1
8notebook,R.permeability,1
cost,user,1
cost,AR,1
portable,user,1
portable,AR,1
sticky,user,1
sticky,AR,1
organize_sticky,user,1
organize_sticky,AR,1
information_strength,user,1
information_strength,AR,1
digital???,user,1
digital???,AR,1
