,R.orientation,R.size,R.spatiality,R.texture,R.permeability
11book,1,1,1,1,1
17package_container,1,1,1,1,1
1bookmarkleaflet,1,1,1,1,1
1calligraph,1,1,1,1,1
1handcraft,1,1,1,1,1
1money,1,1,1,1,1
1papercup,1,1,1,1,1
1sandpaper,1,1,1,1,1
2examsheet,1,1,1,1,1
2newpaper,1,1,1,1,1
2paperstick_tape,1,1,1,1,1
2plainpaper,1,1,1,1,1
2receipt,1,1,1,1,1
3scratchpaperdraft,1,1,1,1,1
4brochure_leaflet,1,1,1,1,1
4letter_notice,1,1,1,1,1
5calendar,1,1,1,1,1
7card,1,1,1,1,1
7memo_post,1,1,1,1,1
7tissue,1,1,1,1,1
8article,1,1,1,1,1
8notebook,1,1,1,1,1
8poster,1,1,1,1,1
